case_id,battery_id,source_record_id,manufacturer,model_name,canonical_model,vehicle_year,mileage_km,capacity_kwh,chemistry,battery_count,current_year,inspection_date,origin_type,origin_name,origin_region,origin_latitude,origin_longitude,flooded,leakage,overheated,swelling,impact,data_source,capacity_source,chemistry_source,location_source,is_demo,expected_grade,expected_recommended_path,expected_required_diagnostic_capability,expected_collection_route,expected_data_confidence,expected_soh_proxy_score,expected_reuse_score,expected_recycle_score
CASE_000011,BAT_000011,TS_025963,현대자동차(주),포터Ⅱ 일렉트릭 (PORTERⅡ ELECTRIC),Porter II Electric,2023,29636,58.8,NCM,1,2026,2024-03-18,scrapyard,대구경북폐차장,경북,36.102025,128.356257,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,85.7,82.3,65.9
CASE_000012,BAT_000012,TS_068579,현대자동차(주),포터Ⅱ 일렉트릭 내장탑(PORTERⅡ ELECTRI,Porter II Electric,2023,22056,58.8,NCM,1,2026,2024-07-01,scrapyard,대전권역폐차장,대전,36.308927,127.383595,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,87.0,83.2,65.6
CASE_000013,BAT_000013,TS_137465,현대자동차(주),포터Ⅱ 일렉트릭 (PORTERⅡ ELECTRIC),Porter II Electric,2023,19112,58.8,NCM,1,2026,2024-11-04,scrapyard,광주전남폐차장,전남,35.125721,126.863587,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,87.6,83.7,65.5
CASE_000014,BAT_000014,TS_027306,현대자동차(주),포터Ⅱ 일렉트릭 (PORTERⅡ ELECTRIC),Porter II Electric,2023,5164,58.8,NCM,1,2026,2024-03-22,scrapyard,광주전남폐차장,전남,35.134117,126.823432,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,90.1,85.6,65.0
CASE_000015,BAT_000015,TS_005758,기아 주식회사,봉고Ⅲ 1톤 EV,Bongo III EV,2022,19871,58.8,NCM,1,2026,2024-01-20,scrapyard,광주전남폐차장,전남,35.233996,126.796965,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,84.4,81.3,66.1
CASE_000016,BAT_000016,TS_139958,현대자동차(주),아이오닉6 (IONIQ6),Ioniq 6,2023,44880,77.4,NCM,1,2026,2024-11-07,scrapyard,광주전남폐차장,전남,35.130751,126.780046,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,82.9,82.4,73.2
CASE_000017,BAT_000017,TS_139931,현대자동차(주),포터Ⅱ 일렉트릭 (PORTERⅡ ELECTRIC),Porter II Electric,2023,16570,58.8,NCM,1,2026,2024-11-07,scrapyard,대구경북폐차장,경북,36.148847,128.305492,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,88.0,84.0,65.4
CASE_000018,BAT_000018,TS_012448,현대자동차(주),아이오닉5 (IONIQ5),Ioniq 5,2022,21922,72.6,NCM,1,2026,2024-02-14,scrapyard,인천권역폐차장,인천,37.424698,126.689146,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,84.1,83.3,72.9
CASE_000019,BAT_000019,TS_072491,현대자동차(주),포터Ⅱ 일렉트릭 (PORTERⅡ ELECTRIC),Porter II Electric,2023,23763,58.8,NCM,1,2026,2024-07-08,scrapyard,광주전남폐차장,전남,35.192105,126.842338,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,86.7,83.0,65.7
CASE_000020,BAT_000020,TS_088831,기아 주식회사,니로 EV,Niro EV,2022,28040,64.0,NCM,1,2026,2024-08-07,scrapyard,대구경북폐차장,경북,36.132973,128.412403,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,83.0,82.5,73.2
CASE_000021,BAT_000021,TS_063446,기아 주식회사,봉고Ⅲ 1톤 EV,Bongo III EV,2022,10447,58.8,NCM,1,2026,2024-06-21,scrapyard,대구경북폐차장,경북,36.114018,128.38331,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,86.1,82.6,65.8
CASE_000022,BAT_000022,SYN_LFP_0007,LFP Demo Manufacturer,LFP 시연용 EV,LFP Demo Vehicle,2022,27899,60.0,LFP,1,2026,2024-06-08,scrapyard,충남중부폐차장,충남,36.813673,127.080227,False,False,False,False,False,SYNTHETIC_LFP_DEMO_CASE_FROM_TS_TEMPLATE,synthetic_lfp_demo,synthetic_lfp_demo,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,LFP 전용 수거 루트,1.0,83.0,83.0,62.6
CASE_000023,BAT_000023,SYN_LFP_0008,LFP Demo Manufacturer,LFP 시연용 EV,LFP Demo Vehicle,2022,58335,64.0,LFP,1,2026,2024-05-02,scrapyard,경기남부폐차장,경기,37.240682,127.04077,False,False,False,False,False,SYNTHETIC_LFP_DEMO_CASE_FROM_TS_TEMPLATE,synthetic_lfp_demo,synthetic_lfp_demo,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,LFP 전용 수거 루트,1.0,77.5,78.9,63.8
CASE_000024,BAT_000024,TS_009206,현대자동차(주),포터Ⅱ 일렉트릭 (PORTERⅡ ELECTRIC),Porter II Electric,2023,9682,58.8,NCM,1,2026,2024-02-01,scrapyard,대전권역폐차장,대전,36.366013,127.370252,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,89.3,85.0,65.1
CASE_000025,BAT_000025,TS_041874,기아 주식회사,봉고Ⅲ EV 냉동차,Bongo III EV,2023,31169,58.8,NCM,1,2026,2024-05-07,scrapyard,광주전남폐차장,전남,35.143576,126.842647,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,85.4,82.1,65.9
CASE_000026,BAT_000026,TS_096686,현대자동차(주),포터Ⅱ 일렉트릭 (PORTERⅡ ELECTRIC),Porter II Electric,2022,18923,58.8,NCM,1,2026,2024-08-22,scrapyard,부산권역폐차장,부산,35.169304,128.987086,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,84.6,81.4,66.1
CASE_000027,BAT_000027,TS_008075,기아 주식회사,봉고Ⅲ EV 플러스내장차,Bongo III EV,2023,13227,58.8,NCM,1,2026,2024-01-29,scrapyard,충남중부폐차장,충남,36.770372,127.135571,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,88.6,84.4,65.3
CASE_000028,BAT_000028,TS_142119,현대자동차(주),포터Ⅱ 일렉트릭 내장탑(PORTERⅡ ELECTRI,Porter II Electric,2023,25630,58.8,NCM,1,2026,2024-11-11,scrapyard,광주전남폐차장,전남,35.165541,126.840726,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,86.4,82.8,65.7
CASE_000029,BAT_000029,TS_104078,현대자동차(주),포터Ⅱ 일렉트릭 (PORTERⅡ ELECTRIC),Porter II Electric,2021,16840,58.8,NCM,1,2026,2024-09-05,scrapyard,대구경북폐차장,경북,36.174768,128.381835,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,82.0,79.5,66.6
CASE_000030,BAT_000030,TS_017353,기아 주식회사,봉고Ⅲ EV 윙바디,Bongo III EV,2021,32568,58.8,NCM,1,2026,2024-02-26,scrapyard,대구경북폐차장,경북,36.1251,128.304632,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,79.1,77.3,67.2
CASE_000031,BAT_000031,TS_149507,기아 주식회사,봉고Ⅲ EV 플러스내장차,Bongo III EV,2023,26768,58.8,NCM,1,2026,2024-11-22,scrapyard,대구경북폐차장,경북,36.115348,128.344822,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,86.2,82.7,65.8
CASE_000032,BAT_000032,SYN_LFP_0009,LFP Demo Manufacturer,LFP 시연용 EV,LFP Demo Vehicle,2022,54505,70.0,LFP,3,2026,2024-04-29,scrapyard,경기남부폐차장,경기,37.273604,127.119519,False,False,False,False,False,SYNTHETIC_LFP_DEMO_CASE_FROM_TS_TEMPLATE,synthetic_lfp_demo,synthetic_lfp_demo,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,LFP 전용 수거 루트,1.0,78.2,79.4,63.6
CASE_000033,BAT_000033,TS_169864,현대자동차(주),포터Ⅱ 일렉트릭 (PORTERⅡ ELECTRIC),Porter II Electric,2023,43814,58.8,NCM,1,2026,2024-12-31,scrapyard,인천권역폐차장,인천,37.50201,126.713008,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,83.1,80.3,66.4
CASE_000034,BAT_000034,TS_031645,현대자동차(주),포터Ⅱ 일렉트릭 (PORTERⅡ ELECTRIC),Porter II Electric,2023,3351,58.8,NCM,1,2026,2024-04-09,scrapyard,대구경북폐차장,경북,36.127178,128.394763,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,90.4,85.8,64.9
CASE_000035,BAT_000035,TS_039646,기아 주식회사,봉고Ⅲ 1톤 EV,Bongo III EV,2021,10590,58.8,NCM,3,2026,2024-04-30,scrapyard,대전권역폐차장,대전,36.336018,127.387703,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,83.1,80.3,66.4
CASE_000036,BAT_000036,TS_117080,현대자동차(주),포터Ⅱ 일렉트릭 (PORTERⅡ ELECTRIC),Porter II Electric,2022,25146,58.8,NCM,1,2026,2024-10-02,scrapyard,인천권역폐차장,인천,37.49502,126.725527,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,83.5,80.6,66.3
CASE_000037,BAT_000037,TS_153651,기아 주식회사,EV6,EV6,2022,47225,77.4,NCM,1,2026,2024-11-29,scrapyard,대전권역폐차장,대전,36.365406,127.382513,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,79.5,79.9,73.8
CASE_000038,BAT_000038,TS_035844,기아 주식회사,봉고Ⅲ EV 플러스내장차,Bongo III EV,2023,10770,58.8,NCM,1,2026,2024-04-22,scrapyard,광주전남폐차장,전남,35.213251,126.846636,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,89.1,84.8,65.2
CASE_000039,BAT_000039,SYN_LFP_0010,LFP Demo Manufacturer,LFP 시연용 EV,LFP Demo Vehicle,2022,53162,77.0,LFP,1,2026,2024-03-02,scrapyard,경기남부폐차장,경기,37.270013,127.001318,False,False,False,False,False,SYNTHETIC_LFP_DEMO_CASE_FROM_TS_TEMPLATE,synthetic_lfp_demo,synthetic_lfp_demo,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,LFP 전용 수거 루트,1.0,78.4,79.6,63.6
CASE_000040,BAT_000040,TS_045552,현대자동차(주),포터Ⅱ 일렉트릭 (PORTERⅡ ELECTRIC),Porter II Electric,2022,44381,58.8,NCM,1,2026,2024-05-14,scrapyard,부산권역폐차장,부산,35.169344,128.995661,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,80.0,78.0,67.0
CASE_000041,BAT_000041,TS_127039,기아 주식회사,EV6,EV6,2023,26964,77.4,NCM,1,2026,2024-10-18,scrapyard,경기남부폐차장,경기,37.215714,126.998796,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,86.1,84.8,72.5
CASE_000042,BAT_000042,TS_139159,기아 주식회사,EV6,EV6,2022,46558,77.4,NCM,1,2026,2024-11-06,scrapyard,광주전남폐차장,전남,35.217282,126.875895,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,79.6,79.9,73.8
CASE_000043,BAT_000043,TS_091175,현대자동차(주),아이오닉5(IONIQ5),Ioniq 5,2022,34575,72.6,NCM,1,2026,2024-08-12,scrapyard,부산권역폐차장,부산,35.272528,129.018585,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,81.8,81.6,73.4
CASE_000044,BAT_000044,TS_069806,현대자동차(주),아이오닉5 (IONIQ5),Ioniq 5,2022,51972,72.6,NCM,1,2026,2024-07-03,scrapyard,충남중부폐차장,충남,36.808817,127.126729,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,78.6,79.2,74.0
CASE_000045,BAT_000045,TS_046811,현대자동차(주),포터Ⅱ 일렉트릭 (PORTERⅡ ELECTRIC),Porter II Electric,2022,35246,58.8,NCM,1,2026,2024-05-17,scrapyard,인천권역폐차장,인천,37.442888,126.695181,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,81.7,79.3,66.7
CASE_000046,BAT_000046,TS_140790,현대자동차(주),포터Ⅱ 일렉트릭 (PORTERⅡ ELECTRIC),Porter II Electric,2023,1764,58.8,NCM,1,2026,2024-11-08,scrapyard,대전권역폐차장,대전,36.401551,127.400389,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,90.7,86.0,64.9
CASE_000047,BAT_000047,TS_038746,현대자동차(주),포터Ⅱ 일렉트릭 (PORTERⅡ ELECTRIC),Porter II Electric,2023,15761,58.8,NCM,1,2026,2024-04-29,scrapyard,대구경북폐차장,경북,36.080753,128.333796,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,88.2,84.2,65.4
CASE_000048,BAT_000048,TS_013418,기아 주식회사,봉고Ⅲ 1톤 EV,Bongo III EV,2020,32983,58.8,NCM,1,2026,2024-02-16,scrapyard,대전권역폐차장,대전,36.319085,127.417244,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,76.1,75.1,67.8
CASE_000049,BAT_000049,TS_066695,(주)일진정공,일진무시동전기냉동탑차,UNKNOWN,2023,15168,,UNKNOWN,1,2026,2024-06-27,scrapyard,부산권역폐차장,부산,35.234716,128.916501,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,unmapped,unmapped,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,화학계 확인 필요 루트,0.6,88.3,79.7,42.3
CASE_000050,BAT_000050,TS_105879,현대자동차(주),아이오닉5 (IONIQ5),Ioniq 5,2023,60570,72.6,NCM,1,2026,2024-09-09,scrapyard,광주전남폐차장,전남,35.145689,126.840854,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,80.1,80.3,73.7
CASE_000051,BAT_000051,TS_053218,현대자동차(주),포터Ⅱ 일렉트릭 윙바디(PORTERⅡ ELECTRI,Porter II Electric,2023,36102,58.8,NCM,1,2026,2024-05-31,scrapyard,광주전남폐차장,전남,35.159321,126.782922,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,84.5,81.4,66.1
CASE_000052,BAT_000052,TS_066049,현대자동차(주),포터Ⅱ 일렉트릭 (PORTERⅡ ELECTRIC),Porter II Electric,2023,25151,58.8,NCM,1,2026,2024-06-26,scrapyard,경기남부폐차장,경기,37.257879,126.976273,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,86.5,82.9,65.7
CASE_000053,BAT_000053,TS_063523,기아 주식회사,봉고Ⅲ EV 냉동차,Bongo III EV,2023,15756,58.8,NCM,1,2026,2024-06-21,scrapyard,충남중부폐차장,충남,36.826915,127.161635,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,88.2,84.2,65.4
CASE_000054,BAT_000054,TS_093670,현대자동차(주),포터Ⅱ 일렉트릭 (PORTERⅡ ELECTRIC),Porter II Electric,2023,4049,58.8,NCM,1,2026,2024-08-17,scrapyard,대구경북폐차장,경북,36.168762,128.375931,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,90.3,85.7,64.9
CASE_000055,BAT_000055,TS_129899,현대자동차(주),아이오닉5 (IONIQ5),Ioniq 5,2023,88021,72.6,NCM,1,2026,2024-10-23,scrapyard,대구경북폐차장,경북,36.12267,128.319418,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,75.2,76.7,74.7
CASE_000056,BAT_000056,TS_128205,현대자동차(주),포터Ⅱ 일렉트릭 (PORTERⅡ ELECTRIC),Porter II Electric,2023,21025,58.8,NCM,1,2026,2024-10-21,scrapyard,인천권역폐차장,인천,37.478838,126.652612,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,87.2,83.4,65.6
CASE_000057,BAT_000057,TS_067805,기아 주식회사,봉고Ⅲ 1톤 EV,Bongo III EV,2021,15100,58.8,NCM,1,2026,2024-06-29,scrapyard,대구경북폐차장,경북,36.047744,128.240841,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,82.3,79.7,66.5
CASE_000058,BAT_000058,TS_057067,기아 주식회사,니로 EV,Niro EV,2022,57624,64.0,NCM,1,2026,2024-06-10,scrapyard,경기남부폐차장,경기,37.261895,127.009578,False,False,False,False,False,TS_CELL_VOLTAGE_METADATA,model_specs_seed_unverified,model_specs_seed_unverified,synthetic_scrapyard_region_jitter,True,Green,reuse_candidate,kolas,NCM 전용 수거 루트,1.0,77.6,78.4,74.2
